NORAD_CAT_ID,OBJECT_NAME,TLE_LINE1,TLE_LINE2,EPOCH
67518,STARLINK-36412,1 67518C 26012AB  26210.07618056  .00015715  00000+0  56918-3 0  2108,2 67518  42.9990 235.6256 0001225 265.4921 267.2063 15.27572336    18,2026-07-29 04:38:21
67519,STARLINK-36415,1 67519C 26012AC  26210.06784722  .00018548  00000+0  67183-3 0  2105,2 67519  42.9986 235.6131 0001475 265.4106 242.6356 15.27567997    17,2026-07-29 04:38:21
67520,STARLINK-36547,1 67520C 26012AD  26210.07340278  .00016497  00000+0  59708-3 0  2107,2 67520  42.9999 235.6934 0000973 297.4448 198.6517 15.27595070    12,2026-07-29 04:38:21
67521,STARLINK-36444,1 67521C 26012AE  26210.09354167  .00012252  00000+0  44379-3 0  2105,2 67521  43.0007 235.6351 0001414 263.8473 321.9791 15.27571183    18,2026-07-29 04:38:21
67532,STARLINK-36587,1 67532C 26014A   26210.09354167  .00097623  00000+0  30310-2 0  2103,2 67532  97.2853  96.2562 0001891 103.8680 354.6151 15.33382735    10,2026-07-29 04:38:21
67533,STARLINK-36417,1 67533C 26014B   26210.07548611  .00103860  00000+0  32274-2 0  2103,2 67533  97.2855  96.1485 0001757 109.6884  39.2736 15.33351817    19,2026-07-29 04:38:21
67534,STARLINK-36576,1 67534C 26014C   26210.06576389  .00104840  00000+0  32495-2 0  2100,2 67534  97.2856  96.1657 0001795  97.5076  57.6869 15.33433526    11,2026-07-29 04:38:21
67535,STARLINK-36574,1 67535C 26014D   26210.09076389  .00096996  00000+0  30121-2 0  2105,2 67535  97.2856  96.2335 0001590  95.5327 302.6303 15.33377889    11,2026-07-29 04:38:21
67536,STARLINK-36572,1 67536C 26014E   26210.11854167  .00080993  00000+0  25141-2 0  2103,2 67536  97.2856  96.2102 0001714  93.0369 338.3486 15.33399612    17,2026-07-29 04:38:21
67537,STARLINK-36561,1 67537C 26014F   26210.09423611  .00093497  00000+0  29031-2 0  2102,2 67537  97.2857  96.2037 0001414  91.0744 251.2380 15.33384401    14,2026-07-29 04:38:21
67538,STARLINK-36397,1 67538C 26014G   26210.09562500  .00096664  00000+0  30016-2 0  2108,2 67538  97.2854  96.2423 0001584  93.4325 346.5470 15.33380046    19,2026-07-29 04:38:21
67539,STARLINK-36573,1 67539C 26014H   26210.11437500  .00086866  00000+0  26966-2 0  2105,2 67539  97.2857  96.2331 0001520 105.1025   3.3028 15.33394651    13,2026-07-29 04:38:21
67540,STARLINK-36585,1 67540C 26014J   26210.10743056  .00089912  00000+0  27892-2 0  2106,2 67540  97.2857  96.2367 0001627 105.6706 354.3519 15.33414436    11,2026-07-29 04:38:21
67541,STARLINK-36579,1 67541C 26014K   26210.11229167  .00084864  00000+0  26344-2 0  2102,2 67541  97.2854  96.3190 0001641  99.5537 207.3590 15.33395713    15,2026-07-29 04:38:21
67542,STARLINK-35934,1 67542C 26014L   26210.06298611  .00100090  00000+0  31080-2 0  2100,2 67542  97.2853  96.2589 0001690  92.1707 272.7402 15.33378002    18,2026-07-29 04:38:21
67543,STARLINK-36581,1 67543C 26014M   26210.11368056  .00087741  00000+0  27242-2 0  2100,2 67543  97.2858  96.2389 0001543  91.4883  28.0942 15.33388622    16,2026-07-29 04:38:21
67544,STARLINK-36565,1 67544C 26014N   26210.11298611  .00086224  00000+0  26765-2 0  2104,2 67544  97.2857  96.2191 0001544 106.1976 324.5433 15.33396079    19,2026-07-29 04:38:21
67545,STARLINK-36583,1 67545C 26014P   26210.08173611  .00100870  00000+0  31318-2 0  2107,2 67545  97.2852  96.2502 0001800 105.4960 302.8544 15.33381412    18,2026-07-29 04:38:21
67546,STARLINK-36580,1 67546C 26014Q   26210.10465278  .00088499  00000+0  27472-2 0  2102,2 67546  97.2857  96.1918 0001778 102.8322 236.9367 15.33393513    16,2026-07-29 04:38:21
67547,STARLINK-36584,1 67547C 26014R   26210.09631944  .00095748  00000+0  29728-2 0  2107,2 67547  97.2852  96.2790 0001749  91.2766  67.5245 15.33384330    12,2026-07-29 04:38:21
67548,STARLINK-36586,1 67548C 26014S   26210.10743056  .00088997  00000+0  27630-2 0  2106,2 67548  97.2852  96.2977 0001945  96.9945 138.1008 15.33389670    13,2026-07-29 04:38:21
67549,STARLINK-36564,1 67549C 26014T   26210.07618056  .00102530  00000+0  31829-2 0  2109,2 67549  97.2856  96.1570 0001646  92.0170  75.6791 15.33383804    18,2026-07-29 04:38:21
67550,STARLINK-36563,1 67550C 26014U   26210.06993056  .00101670  00000+0  31585-2 0  2109,2 67550  97.2853  96.2718 0001577  97.3567 320.9141 15.33363200    16,2026-07-29 04:38:21
67551,STARLINK-36566,1 67551C 26014V   26210.07062500  .00104420  00000+0  32421-2 0  2108,2 67551  97.2854  96.1390 0001617 102.3080   4.7463 15.33379693    12,2026-07-29 04:38:21
67552,STARLINK-36567,1 67552C 26014W   26210.09909722  .00095933  00000+0  29808-2 0  2100,2 67552  97.2851  96.2716 0001892  85.1546  74.0438 15.33359610    12,2026-07-29 04:38:21
67553,STARLINK-36569,1 67553C 26014X   26210.06645833  .00097741  00000+0  30353-2 0  2104,2 67553  97.2854  96.2245 0001710  92.2892 201.7830 15.33376558    10,2026-07-29 04:38:21
67554,STARLINK-36395,1 67554C 26014Y   26210.07826389  .00100730  00000+0  31282-2 0  2108,2 67554  97.2855  99.1032 0001758  92.6480 193.9025 15.33375569    16,2026-07-29 04:38:21
67555,STARLINK-36559,1 67555C 26014Z   26210.11159722  .00089363  00000+0  27745-2 0  2101,2 67555  97.2857  96.2490 0001763  92.5003  45.5877 15.33387559    10,2026-07-29 04:38:21
67560,STARLINK-36426,1 67560C 26014AA  26210.09215278  .00095273  00000+0  29579-2 0  2107,2 67560  97.2854  96.3068 0001929  98.6668 112.1420 15.33385311    12,2026-07-29 04:38:21
67561,STARLINK-36621,1 67561C 26016A   26210.06715278 -.00007289  00000+0 -22626-3 0  2101,2 67561  97.2846 269.4188 0000464  77.8396  41.9160 15.33446168    18,2026-07-29 04:38:21
67562,STARLINK-36398,1 67562C 26016B   26210.07618056 -.00001439  00000+0 -44665-4 0  2108,2 67562  97.2844 269.5610 0000850  83.6654  40.8938 15.33442384    16,2026-07-29 04:38:21
67563,STARLINK-36403,1 67563C 26016C   26210.09076389  .00029495  00000+0  91588-3 0  2103,2 67563  97.2842 269.5304 0000349  59.2685  40.7497 15.33415323    13,2026-07-29 04:38:21
67564,STARLINK-36593,1 67564C 26016D   26210.09076389  .00033682  00000+0  10450-2 0  2105,2 67564  97.2843 269.5171 0001493  91.2592 338.6424 15.33438237    19,2026-07-29 04:38:21
67565,STARLINK-35725,1 67565C 26016E   26210.09909722 -.00011739  00000+0 -36442-3 0  2103,2 67565  97.2845 269.4826 0000782  83.5020 287.4831 15.33443104    10,2026-07-29 04:38:21
